"Leave_Type_Name","Description","Default_Annual_Allocation","Count_Weekends","Active"
"Annual Leave","Paid time off for vacation, travel, and personal rest.","20.00","false","true"
"Sick Leave","Paid leave for illness, injury, medical appointments, or recovery.","12.00","false","true"
"Personal Leave","Leave for urgent personal matters and important private commitments.","5.00","false","true"
"Maternity Leave","Extended leave provided for childbirth and postnatal recovery.","90.00","true","true"
"Paternity Leave","Leave provided to support a partner and care for a newborn child.","15.00","true","true"
"Bereavement Leave","Compassionate leave following the death of an immediate family member.","5.00","true","true"
"Jury Duty Leave","Authorized leave for employees summoned to serve on a jury.","10.00","false","true"
"Study Leave","Leave for approved examinations, certifications, and professional development.","7.00","false","true"
"Unpaid Leave","Approved time away from work after paid leave balances are exhausted.","0.00","true","true"
"Volunteer Leave","Paid leave for participation in approved community service activities.","2.00","false","false"
